ref_id,ALL,UTR5,CDS,UTR3
K07E12.1a.2,1-39782,1-168,169-39471,39472-39782
K07E12.1b.1,1-36851,,1-36753,36754-36851
K07E12.2.1,1-487,1-64,65-427,428-487
K07E3.1.1,1-3998,1-10,11-3163,3164-3998
K07E3.2.1,1-2511,1-7,8-2323,2324-2511
K07E3.3.1,1-1116,1-1,2-913,914-1116
K07E3.3.2,1-1136,1-1,2-913,914-1136
K07E3.4a.1,1-2133,1-63,64-1986,1987-2133
K07E3.4b.1,1-2185,1-115,116-2038,2039-2185
K07E3.7a.1,1-4275,1-160,161-3685,3686-4275
K07E3.7a.2,1-4261,1-146,147-3671,3672-4261
K07E3.7a.3,1-4152,1-37,38-3562,3563-4152
K07E3.7c.1,1-4335,1-136,137-3745,3746-4335
K07E3.8.1,1-751,1-13,14-565,566-751
K07E3.8.2,1-837,1-99,100-651,652-837
K07E3.8.3,1-674,1-20,21-572,573-674
K07E3.9.1,1-931,,1-810,811-931
K07E8.11a.1,1-1075,,1-1032,1033-1075
K07E8.11b.1,1-694,,1-651,652-694
K07E8.3.1,1-928,1-33,34-744,745-928
K07E8.3.2,1-913,1-33,34-744,745-913
K07E8.3.3,1-949,1-33,34-744,745-949
K07E8.5.1,1-1216,1-9,10-1059,1060-1216
K07E8.6a.1,1-1191,1-60,61-1080,1081-1191
K07E8.7a.1,1-1373,1-16,17-1315,1316-1373
K07E8.7b.1,1-1336,1-12,13-1278,1279-1336
K07E8.7c.1,1-1198,,1-1140,1141-1198
K07E8.9.1,1-1289,,1-1023,1024-1289
K07F5.1.1,1-646,1-47,48-431,432-646
K07F5.1.2,1-643,1-47,48-431,432-643
K07F5.1.3,1-636,1-47,48-431,432-636
K07F5.1.4,1-629,1-47,48-431,432-629
K07F5.1.5,1-622,1-47,48-431,432-622
K07F5.1.6,1-522,1-47,48-431,432-522
K07F5.1.7,1-614,1-35,36-419,420-614
K07F5.1.8,1-429,1-35,36-419,420-429
K07F5.11.1,1-963,1-39,40-912,913-963
K07F5.12.1,1-1143,1-6,7-1062,1063-1143
K07F5.12.2,1-1211,1-71,72-1127,1128-1211
K07F5.13a.1,1-2390,1-177,178-2016,2017-2390
K07F5.13b.1,1-2027,1-4,5-1654,1655-2027
K07F5.13c.1,1-2297,1-4,5-1924,1925-2297
K07F5.14.1,1-1362,1-3,4-1272,1273-1362
K07F5.15.1,1-397,1-91,92-331,332-397
K07F5.16a.1,1-593,1-16,17-484,485-593
K07F5.16b.1,1-651,1-14,15-218,219-651
K07F5.16b.2,1-820,1-78,79-282,283-820
K07F5.17.1,1-532,1-57,58-474,475-532
K07F5.2.1,1-450,1-33,34-417,418-450
K07F5.22.1,1-407,1-38,39-260,261-407
K07F5.22.2,1-543,1-39,40-261,262-543
K07F5.22.3,1-515,1-38,39-260,261-515
K07F5.22.4,1-551,1-38,39-260,261-551
K07F5.22.5,1-558,1-38,39-260,261-558
K07F5.22.6,1-521,1-38,39-260,261-521
K07F5.22.7,1-494,1-38,39-260,261-494
K07F5.3.1,1-519,1-97,98-481,482-519
K07F5.4.1,1-1711,1-108,109-1659,1660-1711
K07F5.5.1,1-331,1-46,47-259,260-331
K07F5.5.2,1-354,1-33,34-246,247-354
K07F5.6.1,1-1498,1-33,34-1446,1447-1498
K07F5.7.1,1-405,,1-405,
K07F5.8.1,1-1080,1-172,173-1027,1028-1080
K07F5.9.1,1-409,1-30,31-360,361-409
K07F5.9.2,1-419,1-30,31-360,361-419
K07F5.9.3,1-569,1-180,181-510,511-569
K07F5.9.4,1-916,1-174,175-504,505-916
K07F5.9.5,1-572,1-32,33-362,363-572
K07G5.1.1,1-3688,1-66,67-3237,3238-3688
K07G5.1.2,1-3770,1-148,149-3319,3320-3770
K07G5.2.1,1-902,1-11,12-737,738-902
K07G5.3.1,1-3672,,1-3609,3610-3672
K07G5.4.1,1-1544,1-405,406-1449,1450-1544
K07G5.5.1,1-1165,1-29,30-1076,1077-1165
K07G5.6.1,1-1302,1-72,73-1197,1198-1302
K07G5.6.2,1-1262,1-27,28-1152,1153-1262
K07G6.1.1,1-402,,1-402,
K07H8.1.1,1-1570,,1-1482,1483-1570
K07H8.1.2,1-1667,,1-1482,1483-1667
K07H8.10.1,1-2692,1-11,12-2408,2409-2692
K07H8.10.2,1-2698,1-17,18-2414,2415-2698
K07H8.10.3,1-2712,1-17,18-2414,2415-2712
K07H8.11.1,1-1024,1-14,15-923,924-1024
K07H8.12.1,1-725,1-38,39-323,324-725
K07H8.2a.1,1-1903,1-70,71-1594,1595-1903
K07H8.2a.2,1-1848,,1-1524,1525-1848
K07H8.2b.1,1-1891,1-70,71-1582,1583-1891
K07H8.2b.2,1-1836,,1-1512,1513-1836
K07H8.2c.1,1-1673,1-59,60-1349,1350-1673
K07H8.2c.2,1-1672,1-58,59-1348,1349-1672
K07H8.2c.3,1-1860,1-246,247-1536,1537-1860
K07H8.2c.4,1-1851,1-237,238-1527,1528-1851
K07H8.2c.5,1-1839,1-225,226-1515,1516-1839
K07H8.2c.6,1-1842,1-228,229-1518,1519-1842
K07H8.2c.7,1-1854,1-240,241-1530,1531-1854
K07H8.2c.8,1-1788,1-174,175-1464,1465-1788
K07H8.3.1,1-749,1-4,5-553,554-749
K07H8.5.1,1-1312,1-286,287-1258,1259-1312
K07H8.5.2,1-1466,1-440,441-1412,1413-1466
K07H8.6a.1,1-5080,1-39,40-4992,4993-5080
K07H8.6a.2,1-5084,1-28,29-4981,4982-5084
K07H8.6c.1,1-5079,1-28,29-4984,4985-5079
K07H8.7.1,1-599,1-22,23-553,554-599
K07H8.8.1,1-1129,1-64,65-1021,1022-1129
K07H8.9.1,1-1076,1-160,161-925,926-1076
K07H8.9.2,1-1166,1-250,251-1015,1016-1166
K08A2.1.1,1-1456,1-117,118-1353,1354-1456
K08A2.1.2,1-1431,1-92,93-1328,1329-1431
K08A2.1.3,1-1344,1-5,6-1241,1242-1344
K08A2.2.1,1-1095,1-6,7-1056,1057-1095
K08A2.4.1,1-1224,1-5,6-1127,1128-1224
K08A2.5a.1,1-2970,1-91,92-1873,1874-2970
K08A2.5a.2,1-2888,1-9,10-1791,1792-2888
K08A2.5a.3,1-2852,1-16,17-1798,1799-2852
K08A2.5c.1,1-1985,1-91,92-799,800-1985
K08A2.5c.2,1-1903,1-9,10-717,718-1903
K08A8.1a.1,1-1483,1-8,9-1052,1053-1483
K08A8.2a.1,1-1625,1-38,39-890,891-1625
K08A8.2a.2,1-1879,1-292,293-1144,1145-1879
K08A8.2a.3,1-1652,1-65,66-917,918-1652
K08A8.2b.1,1-1601,1-266,267-866,867-1601
K08A8.2b.2,1-1466,1-131,132-731,732-1466
K08A8.3a.1,1-2929,1-7,8-1801,1802-2929
K08A8.3a.2,1-2907,1-8,9-1802,1803-2907
K08A8.3a.3,1-2941,1-7,8-1801,1802-2941
K08A8.3b.1,1-1630,,1-495,496-1630
K08A8.3c.1,1-1551,1-2,3-416,417-1551
K08A8.3d.1,1-2930,1-1639,1640-1795,1796-2930
K08A8.3d.2,1-2921,1-1630,1631-1786,1787-2921
K08A8.3d.3,1-2887,1-1596,1597-1752,1753-2887
K08B12.1.1,1-1269,1-80,81-1205,1206-1269
K08B12.2.1,1-2193,1-114,115-1464,1465-2193
K08B12.3.1,1-982,1-7,8-781,782-982
K08B12.5a.1,1-4830,,1-4779,4780-4830
K08B12.5a.2,1-5425,1-6,7-4785,4786-5425
K08B12.5b.1,1-5507,1-96,97-4869,4870-5507
K08B12.5b.2,1-4824,,1-4773,4774-4824
K08B12.5c.1,1-3984,,1-3933,3934-3984
K08B12.5c.2,1-4573,,1-3933,3934-4573
K08B12.5d.1,1-3990,,1-3939,3940-3990
K08B12.5d.2,1-4579,,1-3939,3940-4579
K08B12.5e.1,1-2793,,1-2742,2743-2793
K08B12.5e.2,1-3379,,1-2742,2743-3379
K08B4.1a.1,1-2559,1-9,10-2031,2032-2559
K08B4.1b.1,1-2553,1-9,10-2025,2026-2553
K08B4.1b.2,1-2149,1-9,10-2025,2026-2149
K08B4.1c.1,1-2420,1-8,9-1892,1893-2420
K08B4.1d.1,1-2901,,1-2373,2374-2901
K08B4.2.1,1-861,1-10,11-532,533-861
K08B4.3.1,1-1691,1-7,8-1606,1607-1691
K08B4.4.1,1-1671,1-8,9-1598,1599-1671
K08B4.6.1,1-556,1-63,64-483,484-556
K08B4.6.2,1-491,1-31,32-451,452-491
K08B4.7.1,1-640,1-65,66-263,264-640
K08B5.1.1,1-1390,1-10,11-1132,1133-1390
K08B5.2.1,1-990,1-11,12-923,924-990
K08C7.1.1,1-1592,1-146,147-1442,1443-1592
K08C7.2.1,1-1686,,1-1602,1603-1686
K08C7.2.2,1-1819,1-133,134-1735,1736-1819
K08C7.2.3,1-1716,1-30,31-1632,1633-1716
K08C7.2.4,1-1868,,1-1602,1603-1868
K08C7.3a.1,1-11208,1-6,7-11121,11122-11208
K08C7.3b.1,1-11112,1-6,7-11025,11026-11112
K08C7.3c.1,1-11145,1-6,7-11058,11059-11145
K08C7.3d.1,1-11085,1-6,7-10998,10999-11085
K08C7.3e.1,1-11181,1-6,7-11094,11095-11181
K08C7.3f.1,1-11241,1-6,7-11154,11155-11241
K08C7.4.1,1-1060,1-4,5-589,590-1060
K08C7.5.1,1-1677,1-28,29-1618,1619-1677
K08C7.6.1,1-983,1-90,91-948,949-983
K08C7.7.1,1-1172,1-237,238-1134,1135-1172
K08C9.1.1,1-972,1-188,189-911,912-972
K08C9.10.1,1-341,,1-318,319-341
K08C9.2.1,1-842,1-76,77-784,785-842
K08C9.4.1,1-1135,1-157,158-1063,1064-1135
K08C9.5.1,1-936,,1-936,
K08C9.6.1,1-475,1-9,10-432,433-475
K08C9.7.1,1-517,,1-465,466-517
K08C9.9.1,1-219,,1-219,
K08D10.10.1,1-452,1-308,309-410,411-452
K08D10.10.2,1-336,1-51,52-153,154-336
K08D10.11.1,1-198,,1-198,
K08D10.12a.1,1-637,,1-606,607-637
K08D10.12b.1,1-111,,1-111,
K08D10.12c.1,1-375,1-6,7-249,250-375
K08D10.13.1,1-228,,1-228,
K08D10.14.1,1-1022,1-411,412-936,937-1022
K08D10.14.2,1-1018,1-407,408-932,933-1018
K08D10.14.3,1-792,1-181,182-706,707-792
K08D10.2a.1,1-694,,1-636,637-694
K08D10.2a.2,1-731,,1-636,637-731
K08D10.2b.1,1-566,,1-471,472-566
K08D10.3a.1,1-777,1-6,7-660,661-777
K08D10.3b.1,1-683,,1-567,568-683
K08D10.4.1,1-743,1-32,33-653,654-743
K08D10.7.1,1-993,1-33,34-939,940-993
K08D10.7.2,1-981,1-21,22-927,928-981
K08D10.8.1,1-993,1-23,24-935,936-993
K08D10.8.2,1-975,1-5,6-917,918-975
K08D12.1.1,1-834,1-3,4-732,733-834
K08D12.1.2,1-815,1-11,12-740,741-815
K08D12.2.1,1-1761,1-17,18-1043,1044-1761
K08D12.3a.1,1-664,1-2,3-458,459-664
K08D12.3a.2,1-607,1-2,3-458,459-607
K08D12.3b.1,1-726,1-10,11-139,140-726
K08D12.3b.10,1-391,1-10,11-139,140-391
K08D12.3b.2,1-722,1-10,11-139,140-722
K08D12.3b.3,1-598,1-10,11-139,140-598
K08D12.3b.4,1-778,1-10,11-139,140-778
K08D12.3b.5,1-824,1-10,11-139,140-824
K08D12.3b.6,1-714,1-10,11-139,140-714
K08D12.3b.7,1-710,1-10,11-139,140-710
K08D12.3b.8,1-715,1-10,11-139,140-715
K08D12.3b.9,1-710,1-10,11-139,140-710
K08D12.4.1,1-545,1-1,2-388,389-545
K08D12.5a.1,1-1067,,1-990,991-1067
K08D12.5b.1,1-1049,,1-972,973-1049
K08D12.6.1,1-2227,1-87,88-2094,2095-2227
K08D12.6.2,1-2229,1-87,88-2094,2095-2229
K08D12.7.1,1-470,1-43,44-421,422-470
K08D12.8.1,1-389,1-59,60-326,327-389
K08D8.1.1,1-332,1-19,20-280,281-332
K08D8.10.1,1-247,1-7,8-247,
K08D8.11.1,1-365,1-2,3-107,108-365
K08D8.11.2,1-286,,1-105,106-286
K08D8.12a.1,1-399,1-79,80-340,341-399
K08D8.12a.2,1-508,1-178,179-439,440-508
K08D8.12b.1,1-1208,1-24,25-285,286-1208
K08D8.12c.1,1-723,1-19,20-193,194-723
K08D8.2.1,1-443,1-57,58-369,370-443
K08D8.3.1,1-1916,1-65,66-1505,1506-1916
K08D8.4a.1,1-1740,1-19,20-1663,1664-1740
K08D8.4a.2,1-1741,1-19,20-1663,1664-1741
K08D8.4b.1,1-1416,1-19,20-1339,1340-1416
K08D8.4b.2,1-1417,1-19,20-1339,1340-1417
K08D8.4c.1,1-1905,1-19,20-1315,1316-1905
K08D8.4d.1,1-1638,1-19,20-1561,1562-1638
K08D8.4d.2,1-1639,1-19,20-1561,1562-1639
K08D8.5.1,1-1084,1-36,37-1041,1042-1084
K08D8.5.2,1-1207,1-27,28-1032,1033-1207
K08D8.6a.1,1-1714,1-8,9-1484,1485-1714
K08D8.6a.2,1-1823,1-117,118-1593,1594-1823
K08D8.6b.1,1-1142,,1-912,913-1142
K08D8.7a.1,1-454,,1-372,373-454
K08D8.9.1,1-374,1-16,17-280,281-374
K08D9.10.1,1-78,,1-78,
K08D9.2.1,1-1556,1-123,124-1521,1522-1556
K08D9.3a.1,1-2357,1-40,41-1588,1589-2357
K08D9.3e.1,1-1415,,1-642,643-1415
K08D9.3f.1,1-2344,1-30,31-1572,1573-2344
K08D9.4a.1,1-1073,1-10,11-946,947-1073
K08D9.4b.1,1-505,,1-378,379-505
K08D9.6.1,1-1707,1-100,101-1693,1694-1707
K08D9.9.1,1-238,1-27,28-195,196-238
K08E3.1.1,1-2263,1-5,6-2051,2052-2263
K08E3.1.2,1-2360,1-5,6-2051,2052-2360
K08E3.10.1,1-706,1-116,117-578,579-706
K08E3.2.1,1-831,,1-831,
K08E3.3a.1,1-2021,1-103,104-1930,1931-2021
K08E3.3b.1,1-2026,1-103,104-1936,1937-2026
K08E3.4.1,1-2116,,1-1932,1933-2116
K08E3.5a.1,1-1767,1-10,11-1540,1541-1767
K08E3.5a.2,1-1764,1-7,8-1537,1538-1764
K08E3.5a.3,1-1831,1-74,75-1604,1605-1831
K08E3.5a.4,1-1919,1-162,163-1692,1693-1919
K08E3.5a.5,1-2124,1-367,368-1897,1898-2124
K08E3.5b.1,1-1920,1-92,93-1661,1662-1920
K08E3.5c.1,1-1803,1-8,9-1544,1545-1803
K08E3.5d.1,1-1788,1-67,68-1561,1562-1788
K08E3.5e.1,1-1825,1-107,108-1598,1599-1825
K08E3.5e.2,1-1909,1-191,192-1682,1683-1909
K08E3.5f.1,1-1832,1-123,124-1605,1606-1832
K08E3.6.1,1-2307,1-1,2-2047,2048-2307
K08E3.6.2,1-2324,1-19,20-2065,2066-2324
K08E3.7a.1,1-1271,1-12,13-1173,1174-1271
K08E3.7a.2,1-1342,1-83,84-1244,1245-1342
K08E3.7b.1,1-1177,1-12,13-744,745-1177
K08E3.7b.2,1-1172,1-12,13-744,745-1172
K08E3.7b.3,1-1243,1-83,84-815,816-1243
K08E3.7c.1,1-1073,,1-975,976-1073
K08E3.8.1,1-1582,1-14,15-1340,1341-1582
K08E3.8.2,1-1689,1-121,122-1447,1448-1689
K08E4.1.1,1-3829,1-6,7-3633,3634-3829
K08E4.1.2,1-3896,1-13,14-3640,3641-3896
K08E4.2a.1,1-841,1-19,20-661,662-841
K08E4.2b.1,1-700,,1-516,517-700
K08E4.3a.1,1-1282,1-122,123-971,972-1282
K08E4.3b.1,1-1132,1-122,123-974,975-1132
K08E4.5a.1,1-1115,1-11,12-1085,1086-1115
K08E4.5b.1,1-1182,,1-1164,1165-1182
K08E4.6.1,1-940,1-2,3-707,708-940
K08E4.6.2,1-956,1-12,13-717,718-956
K08E4.7.1,1-1338,1-321,322-1302,1303-1338
K08E4.8.1,1-933,,1-933,
K08E5.1b.1,1-4367,1-4013,4014-4223,4224-4367
K08E5.1b.2,1-822,1-468,469-678,679-822
K08E5.2a.1,1-2232,1-53,54-1754,1755-2232
K08E5.2b.1,1-2292,1-377,378-1814,1815-2292
K08E5.2b.2,1-2229,1-314,315-1751,1752-2229
K08E5.2b.3,1-2140,1-225,226-1662,1663-2140
K08E5.3a.1,1-11573,,1-11304,11305-11573
K08E5.3b.1,1-10213,1-392,393-9944,9945-10213
K08E5.5.1,1-394,1-140,141-209,210-394
K08E5.6.1,1-372,,1-372,
K08E7.1.1,1-1522,1-2,3-1202,1203-1522
K08E7.1.2,1-1650,1-130,131-1330,1331-1650
K08E7.2.1,1-599,1-14,15-257,258-599
K08E7.2.10,1-585,1-16,17-259,260-585
K08E7.2.11,1-585,1-16,17-259,260-585
K08E7.2.12,1-355,1-16,17-259,260-355
K08E7.2.13,1-575,1-16,17-259,260-575
K08E7.2.14,1-345,1-16,17-259,260-345
K08E7.2.2,1-596,1-14,15-257,258-596
K08E7.2.3,1-563,1-14,15-257,258-563
K08E7.2.4,1-708,1-14,15-257,258-708
K08E7.2.5,1-531,1-14,15-257,258-531
K08E7.2.6,1-535,1-14,15-257,258-535
K08E7.2.7,1-600,1-16,17-259,260-600
K08E7.2.8,1-590,1-16,17-259,260-590
K08E7.2.9,1-547,1-16,17-259,260-547
K08E7.3.1,1-2286,1-14,15-2111,2112-2286
K08E7.3.2,1-2409,1-136,137-2233,2234-2409
K08E7.4.1,1-378,1-94,95-346,347-378
K08E7.5a.1,1-3951,1-13,14-3829,3830-3951
K08E7.5b.1,1-1728,,1-1605,1606-1728
K08E7.5c.1,1-2824,1-11,12-2702,2703-2824
K08E7.5d.1,1-1871,,1-1749,1750-1871
K08E7.5e.1,1-2313,1-13,14-2191,2192-2313
K08E7.6.1,1-1166,1-18,19-966,967-1166
K08E7.7a.1,1-2280,1-22,23-2212,2213-2280
K08E7.8a.1,1-558,,1-531,532-558
K08E7.8b.1,1-461,1-6,7-435,436-461
K08E7.9.1,1-4101,1-2,3-3968,3969-4101
K08F11.1a.1,1-544,,1-405,406-544
K08F11.1b.1,1-168,,1-168,
K08F11.3.1,1-1678,1-276,277-1449,1450-1678
K08F11.3.2,1-1517,1-276,277-1449,1450-1517
K08F11.3.3,1-1559,1-276,277-1449,1450-1559
K08F11.3.4,1-1402,,1-1173,1174-1402
K08F11.3.5,1-1726,1-324,325-1497,1498-1726
K08F11.4a.1,1-1407,1-16,17-1360,1361-1407
K08F11.4a.2,1-1457,1-68,69-1412,1413-1457
K08F11.4b.1,1-1505,1-474,475-1458,1459-1505
K08F11.4b.2,1-1110,1-81,82-1065,1066-1110
K08F11.4b.3,1-1442,1-413,414-1397,1398-1442
K08F11.4b.4,1-1394,1-365,366-1349,1350-1394
K08F11.4b.5,1-1364,1-335,336-1319,1320-1364
K08F11.4b.6,1-1329,1-300,301-1284,1285-1329
K08F11.4b.7,1-1062,1-33,34-1017,1018-1062
K08F11.5.1,1-2077,1-1,2-1879,1880-2077
K08F4.1.1,1-2705,1-6,7-2559,2560-2705
K08F4.1.2,1-2736,1-37,38-2590,2591-2736
K08F4.1.3,1-2692,1-6,7-2559,2560-2692
K08F4.1.4,1-2744,1-6,7-2559,2560-2744
K08F4.1.5,1-2647,1-6,7-2559,2560-2647
K08F4.11.1,1-764,1-69,70-693,694-764
K08F4.12.1,1-465,1-20,21-302,303-465
K08F4.2.1,1-1920,1-11,12-1433,1434-1920
K08F4.3.1,1-796,1-137,138-686,687-796
K08F4.4.1,1-1875,1-139,140-1738,1739-1875
K08F4.5.1,1-835,1-51,52-699,700-835
K08F4.6.1,1-716,1-58,59-625,626-716
K08F4.7.1,1-821,1-105,106-729,730-821
K08F4.8.1,1-559,1-40,41-424,425-559
K08F4.9.1,1-836,1-2,3-770,771-836
K08F4.9.2,1-972,1-135,136-903,904-972
K08F8.15.1,1-483,1-163,164-193,194-483
K08F8.15.2,1-395,1-75,76-105,106-395
K08F8.15.3,1-418,1-98,99-128,129-418
K08F8.15.4,1-471,1-151,152-181,182-471
K08F8.15.5,1-359,1-38,39-68,69-359
K08F8.1a.1,1-1782,1-52,53-1618,1619-1782
K08F8.1a.2,1-1896,1-166,167-1732,1733-1896
K08F8.1a.3,1-1793,1-63,64-1629,1630-1793
K08F8.1b.1,1-1657,1-52,53-1063,1064-1657
K08F8.1b.2,1-1771,1-166,167-1177,1178-1771
K08F8.1b.3,1-1668,1-63,64-1074,1075-1668
K08F8.1c.1,1-1256,,1-1092,1093-1256
K08F8.1d.1,1-1890,1-52,53-1243,1244-1890
K08F8.1d.2,1-1922,1-52,53-1243,1244-1922
K08F8.1d.3,1-1998,1-166,167-1357,1358-1998
K08F8.1d.4,1-1901,1-63,64-1254,1255-1901
K08F8.1e.1,1-1358,,1-717,718-1358
K08F8.1e.2,1-1396,,1-717,718-1396
K08F8.2.1,1-1408,,1-1206,1207-1408
K08F8.3.1,1-3824,1-15,16-1317,1318-3824
K08F8.3.2,1-3881,1-72,73-1374,1375-3881
K08F8.3.3,1-3916,1-107,108-1409,1410-3916
K08F8.4a.1,1-1609,1-140,141-1514,1515-1609
K08F8.4b.1,1-1532,1-75,76-1437,1438-1532
K08F8.5a.1,1-1288,1-15,16-1173,1174-1288
K08F8.5b.1,1-1632,1-425,426-1517,1518-1632
K08F8.6.1,1-9278,1-102,103-8691,8692-9278
K08F8.7.1,1-838,1-141,142-735,736-838
K08F9.1a.1,1-1624,1-75,76-1548,1549-1624
K08F9.1b.1,1-1986,1-101,102-656,657-1986
K08F9.1b.2,1-1783,1-65,66-620,621-1783
K08F9.2.1,1-1921,1-1,2-1804,1805-1921
K08F9.2.2,1-1937,1-3,4-1806,1807-1937
K08F9.3a.1,1-998,,1-825,826-998
K08F9.3b.1,1-1037,,1-864,865-1037
K08F9.3c.1,1-960,1-10,11-787,788-960
K08F9.3d.1,1-848,,1-675,676-848
K08F9.4.1,1-1780,1-102,103-1656,1657-1780
K08G2.12a.1,1-1217,1-215,216-1217,
K08G2.12b.1,1-1002,,1-1002,
K08G2.13.1,1-1008,,1-1008,
K08G2.5.1,1-1017,1-18,19-1017,
K08G2.7.1,1-996,,1-996,
K08G2.8.1,1-1008,,1-1008,
K08G2.9.1,1-1002,,1-1002,
K08H10.10a.1,1-821,1-136,137-619,620-821
K08H10.10a.2,1-766,1-58,59-541,542-766
K08H10.10b.1,1-775,1-58,59-463,464-775
K08H10.1a.1,1-2363,1-18,19-2220,2221-2363
K08H10.1a.2,1-2633,1-288,289-2490,2491-2633
K08H10.1b.1,1-4562,1-18,19-3399,3400-4562
K08H10.1b.2,1-4832,1-288,289-3669,3670-4832
K08H10.1b.3,1-4150,1-320,321-3701,3702-4150
K08H10.1c.1,1-2035,1-102,103-1596,1597-2035
K08H10.1c.10,1-1494,,1-1494,
K08H10.1c.2,1-4101,1-2168,2169-3662,3663-4101
K08H10.1c.3,1-2249,1-316,317-1810,1811-2249
K08H10.1c.4,1-3991,1-2058,2059-3552,3553-3991
K08H10.1c.5,1-4035,1-2102,2103-3596,3597-4035
K08H10.1c.6,1-4246,1-2293,2294-3787,3788-4246
K08H10.1c.7,1-4206,1-2273,2274-3767,3768-4206
K08H10.1c.8,1-4200,1-2267,2268-3761,3762-4200
K08H10.1c.9,1-3700,1-1767,1768-3261,3262-3700
K08H10.1d.1,1-2211,1-102,103-1773,1774-2211
K08H10.1d.2,1-4580,1-2471,2472-4142,4143-4580
K08H10.1d.3,1-2425,1-316,317-1987,1988-2425
K08H10.1e.1,1-1373,,1-1230,1231-1373
K08H10.1f.1,1-4386,1-18,19-3948,3949-4386
K08H10.1f.2,1-4670,1-288,289-4218,4219-4670
K08H10.1g.1,1-2659,1-50,51-2516,2517-2659
K08H10.1h.1,1-2561,,1-2418,2419-2561
K08H10.1i.1,1-4147,1-50,51-3695,3696-4147
K08H10.1j.1,1-4067,1-16,17-3613,3614-4067
K08H10.1k.1,1-4682,1-50,51-4244,4245-4682
K08H10.1l.1,1-4584,,1-4146,4147-4584
K08H10.1m.1,1-2465,,1-2322,2323-2465
K08H10.1n.1,1-3940,,1-3501,3502-3940
K08H10.1o.1,1-4488,,1-4050,4051-4488
K08H10.1p.1,1-4505,1-50,51-4067,4068-4505
K08H10.1q.1,1-4310,1-50,51-3872,3873-4310
K08H10.1q.2,1-4320,1-50,51-3872,3873-4320
K08H10.1r.1,1-4423,1-16,17-3985,3986-4423
K08H10.1s.1,1-4212,,1-3774,3775-4212
K08H10.1s.2,1-4247,1-16,17-3790,3791-4247
K08H10.1t.1,1-4209,1-18,19-3771,3772-4209
K08H10.1t.2,1-4479,1-288,289-4041,4042-4479
K08H10.1t.3,1-4419,1-227,228-3980,3981-4419
K08H10.1u.1,1-4014,1-18,19-3576,3577-4014
K08H10.1u.2,1-4298,1-288,289-3846,3847-4298
K08H10.4.1,1-1876,1-213,214-1653,1654-1876
K08H10.6.1,1-2443,1-8,9-1448,1449-2443
K08H10.7.1,1-3218,1-28,29-3091,3092-3218
K08H10.9.1,1-739,1-95,96-653,654-739
K08H2.1.1,1-2171,1-1324,1325-1855,1856-2171
K08H2.10.1,1-1193,1-85,86-1060,1061-1193
K08H2.10.2,1-1127,1-10,11-985,986-1127
K08H2.2.1,1-782,,1-603,604-782
K08H2.3.1,1-949,1-33,34-837,838-949
K08H2.3.2,1-1001,1-20,21-824,825-1001
K08H2.4.1,1-837,1-347,348-710,711-837
K08H2.5.1,1-915,,1-915,
K08H2.6.1,1-802,1-38,39-593,594-802
K08H2.7a.1,1-416,1-3,4-378,379-416
K08H2.7b.1,1-338,,1-276,277-338
K08H2.8.1,1-1547,1-12,13-1257,1258-1547
K08H2.9.1,1-1415,1-38,39-1250,1251-1415
K09A11.1.1,1-1905,1-5,6-1823,1824-1905
K09A11.2.1,1-1534,1-18,19-1494,1495-1534
K09A11.2.2,1-1571,1-18,19-1494,1495-1571
K09A11.3.1,1-1564,1-42,43-1521,1522-1564
K09A11.4.1,1-1557,1-20,21-1517,1518-1557
K09A11.5.1,1-2061,,1-2061,
K09A9.1.1,1-2383,1-3,4-1971,1972-2383
K09A9.2.1,1-1300,1-19,20-652,653-1300
K09A9.2.2,1-1227,1-18,19-651,652-1227
K09A9.3.1,1-1798,1-6,7-1359,1360-1798
K09A9.4.1,1-2384,1-1,2-2152,2153-2384
K09A9.5.1,1-1688,1-6,7-1455,1456-1688
K09A9.5.2,1-1774,1-92,93-1541,1542-1774
K09A9.6a.1,1-3091,1-410,411-3029,3030-3091
K09A9.6b.1,1-2958,1-134,135-2897,2898-2958
K09A9.8.1,1-1238,1-858,859-1185,1186-1238
K09A9.8.2,1-658,1-276,277-603,604-658
K09B11.10.1,1-2457,1-109,110-2329,2330-2457
K09B11.1a.1,1-2330,1-5,6-1463,1464-2330
K09B11.1a.2,1-2408,1-83,84-1541,1542-2408
K09B11.1b.1,1-2205,,1-1338,1339-2205
K09B11.2a.1,1-1769,1-2,3-1652,1653-1769
K09B11.2b.1,1-466,,1-378,379-466
K09B11.4.1,1-750,1-74,75-503,504-750
K09B11.5a.1,1-1818,,1-1770,1771-1818
K09B11.5b.1,1-1626,,1-1578,1579-1626
K09B11.9a.1,1-3407,,1-2826,2827-3407
K09B11.9b.1,1-3270,,1-2628,2629-3270
K09B3.1a.1,1-681,1-59,60-617,618-681
K09B3.1b.1,1-740,1-16,17-676,677-740
K09B3.1c.1,1-424,,1-366,367-424
K09C4.10.1,1-3345,1-31,32-3139,3140-3345
K09C4.1a.1,1-1815,1-78,79-1644,1645-1815
K09C4.1a.2,1-1835,1-78,79-1644,1645-1835
K09C4.1b.1,1-516,,1-342,343-516
K09C4.2.1,1-507,1-48,49-507,
K09C4.4.1,1-1642,1-2,3-1577,1578-1642
K09C4.5.1,1-1727,1-72,73-1647,1648-1727
K09C4.7.1,1-998,,1-843,844-998
